Weekend camping trip,  Travel, 100.00,  10/05/2024
Dining out,  Food, 60.00,  04/20/2023
Movie night at home,  Entertainment, 20.00,  01/12/2023
Rent payment,  Housing, 1000.00,  11/01/2023
Stock investment,  Investing, 500.00,  08/15/2022
Formal attire purchase,  Clothing, 300.00,  07/05/2024
Road trip expenses,  Travel, 200.00,  05/10/2022
Grocery shopping,  Food, 70.00,  03/25/2023
Concert tickets,  Entertainment, 150.00,  12/01/2023
Utilities bill payment,  Bills, 150.00,  06/10/2024
Marathon registration fee,  Fitness, 100.00,  10/05/2023
Winter clothing purchase,  Clothing, 250.00,  11/30/2022
Investment in mutual funds,  Investing, 300.00,  08/25/2024
Takeout dinner,  Food, 30.00,  04/15/2022
Movie night at home,  Entertainment, 20.00,  01/01/2023
Mortgage payment,  Housing, 1500.00,  11/10/2023
Yoga class membership,  Fitness, 150.00,  07/15/2024
